abend,der,Eve 
abendessen,das,dinner 
abends,der,in the evening 
abenteuer,das,adventure 
abschluss,der,graduation 
abschnitt,der,section 
abteilung,die,Department 
abteilungen,die,departments 
achtung,die,Danger 
adresse,die,address 
adressen,die,addresses 
affen,der,monkey 
afrika,das,AFRICA. 
agentur,die,Agency 
ägypten,das,Egypt 
ahnung,die,idea 
akademie,die,academy 
akademien,die,Academy 
aktien,die,shares 
aktivitäten,die,activities 
alkohol,der,alcohol 
all,das,all 
alltag,der,everyday life 
alter,das,Age 
alternative,die,alternative 
amt,das,office 
analyse,die,analysis 
analysen,die,analysis 
änderung,die,modification 
änderungen,die,change 
anfang,der,Security 
anfänger,der,Beginner 
anforderung,die,Requirement 
anforderungen,die,conditions 
angabe,die,specification 
angaben,die,Information 
angebot,das,offer 
angebote,das,deals 
angst,die,anxiety 
anhang,der,attachment 
anhänge,der,Attachments 
anlage,die,investment 
anlagen,die,Investments 
anleitung,die,manual 
anmeldung,die,Registration 
anmeldungen,die,Registrations 
anrede,die,salutation 
anregung,die,suggestion 
anregungen,die,suggestions 
ansatz,der,approach 
anschluss,der,connection 
ansicht,die,view 
ansichten,die,view 
anspruch,der,claim 
ansprüche,der,Expectations 
anteil,der,proportion of 
anteile,der,portions 
antrag,der,application 
anträge,der,applications 
antwort,die,answer 
anwendung,die,application 
anwendungen,die,applications 
anzeige,die,display 
anzeigen,die,Show 
äpfel,der,apples 
apfel,der,Apple 
apfelsaft,der,Apple juice 
apotheke,die,pharmacy 
apotheken,die,pharmacies 
april,der,april 
arbeit,die,job 
arbeitgeber,der,employer 
arbeitgeberin,die,employer 
arbeitgeberinnen,die,employers 
arbeitnehmer,der,worker 
arbeitserlaubnis,die,work permit 
architekt,der,architect 
architekten,der,architects 
ärger,der,trouble 
arme,der,armed 
art,die,art 
arten,die,species 
artikel,der,items 
artikeln,der,the article 
arzt,der,doctor 
ärzte,der,doctors 
ärztin,die,doctor 
ärztinnen,die,doctors 
asien,das,Asia 
atheist,der,atheist 
atheisten,der,atheist 
atmosphäre,die,the atmosphere 
aufgabe,die,task 
aufgaben,die,tasks 
