das,the 
dein,your 
deine,yours 
deinem,your 
deinen,yours 
deiner,yours 
deines,Your 
dich,you 
dies,this 
diese,these 
diesem,This 
diesen,this 
dieser,this 
dieses,this 
dir,to you 
du,of 
er,and 
es,it is 
etwas,something 
euch,to you 
euer,your 
eure,your 
euren,about 
eurer,your 
ich,I 
ihm,him 
ihn,him 
ihnen,them 
ihr,you 
ihre,your 
ihrem,Yours 
ihren,their 
ihrer,of their 
ihres,Yours 
mein,my 
meine,my 
meinem,my 
meinen,mean 
meiner,mine 
meines,my 
mich,me 
mir,me 
sein,be 
seine,his 
seinem,his 
seinen,his 
seiner,his 
sie,you 
uns,us 
unser,our 
unsere,our 
unserem,ours 
unseren,Our 
unserer,our 
was,was 
wem,wem 
wen,ask 
wer,who 
wessen,whose 
wir,we 
