abend,der,véspera 
abendessen,das,jantar 
abends,der,à noite 
abenteuer,das,aventura 
abschluss,der,graduação 
abschnitt,der,seção 
abteilung,die,Departamento 
abteilungen,die,departamentos. 
achtung,die,Perigo 
adresse,die,Morada 
adressen,die,endereços 
affen,der,macaco 
afrika,das,África 
agentur,die,Agência 
ägypten,das,Egito 
ahnung,die,ideia 
akademie,die,Academia 
akademien,die,Academias 
aktien,die,ações 
aktivitäten,die,Atividades 
alkohol,der,álcool 
all,das,Alles. 
alltag,der,vida cotidiana 
alter,das,Era 
alternative,die,alternativo 
amt,das,escritório 
analyse,die,análise 
analysen,die,análise 
änderung,die,modificação 
änderungen,die,mudança 
anfang,der,Começo 
anfänger,der,Principiante 
anforderung,die,Requerimento 
anforderungen,die,condições 
angabe,die,especificação 
angaben,die,Em formação 
angebot,das,oferecer 
angebote,das,ofertas 
angst,die,ansiedade 
anhang,der,acessório 
anhänge,der,Anexos 
anlage,die,investimento 
anlagen,die,Investimentos 
anleitung,die,manual 
anmeldung,die,Cadastro 
anmeldungen,die,Inscrições 
anrede,die,saudação 
anregung,die,sugestão 
anregungen,die,Sugestões 
ansatz,der,abordagem 
anschluss,der,conexão 
ansicht,die,visualizar 
ansichten,die,visualizar 
anspruch,der,afirmação 
ansprüche,der,Expectativas 
anteil,der,proporção de 
anteile,der,porções 
antrag,der,aplicativo 
anträge,der,formulários 
antwort,die,responder 
anwendung,die,aplicativo 
anwendungen,die,formulários 
anzeige,die,exibição 
anzeigen,die,mostrar 
äpfel,der,maçãs. 
apfel,der,maçã 
apfelsaft,der,suco de maçã 
apotheke,die,farmacia 
apotheken,die,Farmácias 
april,der,abril 
arbeit,die,trabalho 
arbeitgeber,der,Empregador 
arbeitgeberin,die,Empregador 
arbeitgeberinnen,die,empregadores 
arbeitnehmer,der,trabalhador 
arbeitserlaubnis,die,visto de trabalho 
architekt,der,arquiteto 
architekten,der,arquiteto 
ärger,der,dificuldade 
arme,der,pobre 
art,die,Gentil 
arten,die,espécies 
artikel,der,Itens 
artikeln,der,Artigos 
arzt,der,médico 
ärzte,der,Médicos 
ärztin,die,médico 
ärztinnen,die,Médicos 
asien,das,Ásia 
atheist,der,['ateu', 'ateia']
atheisten,der,ateu 
atmosphäre,die,a atmosfera 
aufgabe,die,tarefa 
aufgaben,die,tarefas 
auflage,die,edição 
aufnahme,die,admissão 
aufnahmen,die,Gravações 
auftrag,der,tarefa 
auge,das,olho 
augen,das,olhos 
augenblick,der,momento 
august,der,agosto 
ausbildung,die,Treinamento 
ausdruck,der,Expressão 
außerirdische,das,extraterrestre 
ausgabe,die,resultado 
ausgaben,die,despesa 
ausland,das,países estrangeiros 
ausnahme,die,exceção 
ausnahmen,die,exceções 
ausstellung,die,exibição 
ausstellungen,die,exposições. 
austausch,der,intercâmbio 
australien,das,Austrália 
