alles klar,tudo bem 
auf wiedersehen,Adeus 
bis bald,vejo você em breve 
bis morgen,Vejo você amanhã 
bis später,até logo 
denen,para eles 
deren,cujo 
die,a 
entlang,ao longo 
es gibt,existem 
es tut mir leid,sinto muito 
genau,exatamente 
gern geschehen,O prazer é meu 
geteilt durch,dividido por 
gute nacht,Boa noite 
guten abend,boa noite 
guten morgen,bom Dia 
guten tag,dia bom 
hoch,Alto 
hund,cão 
in ordnung,Certo 
keine ahnung,nenhuma idéia 
mir geht's gut,estou bem 
optimist,otimista 
orange,laranja 
pessimist,pessimista 
schweizer franken,Franco suíço 
skeptisch,cético 
tag der deutschen einheit,Dia da unidade alemã 
wie bitte,Eu imploro seu perdão 
wie geht's,como você está 
wie viel,quantos 
wie viele,quantos 
zu abend,à noite 
zu mittag,ao meio-dia 
