abhängig,dependente 
ähnlich,semelhante 
ähnlichen,semelhante 
aktiv,ativo 
aktive,ativo 
aktuelle,atual 
allgemein,geralmente 
alt,velho 
alte,velho 
alten,velho 
ausgezeichnet,excelente 
automatisch,automaticamente 
beendet,concluído 
begeistert,animado 
bekannt,conhecido 
bekannten,conhecimento 
beliebt,popular 
bereit,pronto 
besonderen,especial 
besser,melhorar 
bessere,melhorar 
besseren,melhorar 
beste,melhor 
besten,melhor 
billig,barato 
billiger,mais barato 
blau,azul 
blaue,Azulada 
blauen,azul 
böse,nervoso 
braun,Castanho 
braune,bronzeado 
bunt,colorido 
bunte,colorido 
buntes,colorido 
chemisches,químico 
detaillierte,detalhado 
deutlich,Claro 
deutschen,alemão 
dick,espesso 
dicke,espessura 
dicken,espessura 
dritte,terceiro 
dritten,terceiro 
dumm,estúpido 
dünn,fino 
echt,real 
egal,não importa 
ehemalige,antigo 
ehemaligen,antigo 
ehrlich,honesto 
eigene,ter 
eigenen,ter 
eigener,ter 
eigenes,ter 
eindeutig,claramente 
einfach,fácil 
einfache,simples 
einfachen,simples 
einzelnen,Individual 
einzige,apenas um 
englische,inglês 
englischer,inglês 
erneut,novamente 
erste,primeiro 
ersten,primeiro 
erstes,primeiro 
europäisch,europeu 
europäische,europeu 
externe,externo 
extrem,extremo 
falsch,incorreto 
fertig,finalizado 
fest,firmemente 
fit,em forma 
frei,gratuitamente 
freien,gratuitamente 
frisch,fresco 
früh,cedo 
fünfte,quinto 
ganzen,inteira 
gefährlich,perigoso 
gelb,amarelo 
gelber,amarelo 
gemeinsam,juntos 
gemeinsame,comum 
gesamte,inteiro 
gesamten,inteiro 
gesund,saudável 
gewöhnlich,geralmente 
gleich,igual 
gleiche,mesmo 
gleichen,igual 
glücklich,feliz 
grau,cinza 
grauen,cinzento 
groß,ampla 
großartig,Excelente 
große,Tamanho 
großen,enorme 
großer,maior 
größer,maior 
größere,maior 
größeren,maior 
größeres,maior 
großes,grande 
größte,maior 
größten,o maior 
grün,verde 
grüne,verde 
grünen,verde 
grünes,verde 
günstige,favorável 
gut,Nós vamos 
gute,qualidade 
guten,Boa 
guter,bens 
gutes,Boa 
halb,metade 
harmlos,inofensivo 
hart,duro 
häufig,muitas vezes 
heilig,sagrado 
heilige,santo 
heiß,quente 
heiße,nome é 
herzlich,cordial 
heutigen,presente 
hilfreich,útil 
höchste,Altíssima 
hohe,altura 
hohen,Alto 
hoher,mais alto 
höher,mais alto 
höhere,mais alto 
höheren,mais alto 
individuell,individualmente 
individuelle,Individual 
interessant,Interessante 
interessante,interessante 
international,internacional 
internationale,Internacional 
internationalen,internacional 
jährlich,anual 
jugendliche,Juventude 
jung,novo 
jungen,Rapazes 
kalt,resfriado 
kaputt,quebrado 
klar,Claro 
klein,pequeno 
kleinen,pequeno 
kleiner,menor 
kleines,pequeno 
knapp,escasso 
komisch,engraçado 
komplett,completo 
komplette,completo 
korrupt,corrompido 
kostenlos,gratuitamente 
kostenlose,gratuitamente 
kostenlosen,gratuitamente 
krank,doente 
kühl,frio 
kurz,baixo 
lang,longo 
lange,Longo 
langen,longo 
länger,mais tempo 
langsam,devagar 
langsamer,Mais devagar 
langweilig,entediante 
laut,de acordo com 
lecker,delicioso 
leer,vazio 
leicht,luz 
leichter,isqueiro 
leise,silenciosamente 
letzte,Mais recentes 
letzten,durar 
letzter,durar 
lieber,em vez de 
linken,deixou 
lustig,engraçado 
magisch,mágico 
